seq,receive_time_ms,send_timestamp_ms,delay_ms,jitter_ms,cumulative_loss,payload_bytes
1760,1785044608843,1785044608843,0,0.448,0,40
1761,1785044608843,1785044608843,0,0.420,0,40
1762,1785044608844,1785044608843,1,0.457,0,40
1763,1785044608969,1785044608968,1,0.428,0,40
1764,1785044608969,1785044608968,1,0.401,0,40
1765,1785044608969,1785044608968,1,0.376,0,40
1766,1785044608969,1785044608969,0,0.415,0,40
1767,1785044608969,1785044608969,0,0.389,0,40
1768,1785044608969,1785044608969,0,0.365,0,40
1769,1785044608969,1785044608969,0,0.342,0,40
1770,1785044608969,1785044608969,0,0.321,0,40
1771,1785044608969,1785044608969,0,0.301,0,40
1772,1785044608971,1785044608969,2,0.407,0,40
1773,1785044608971,1785044608969,2,0.381,0,40
1774,1785044608971,1785044608971,0,0.483,0,40
1775,1785044608971,1785044608971,0,0.452,0,40
1776,1785044609096,1785044609096,0,0.424,0,40
1777,1785044609097,1785044609096,1,0.460,0,40
1778,1785044609097,1785044609096,1,0.431,0,40
1779,1785044609097,1785044609096,1,0.404,0,40
1780,1785044609097,1785044609096,1,0.379,0,40
1781,1785044609097,1785044609097,0,0.418,0,40
1782,1785044609097,1785044609097,0,0.392,0,40
1783,1785044609097,1785044609097,0,0.367,0,40
1784,1785044609097,1785044609097,0,0.344,0,40
1785,1785044609098,1785044609097,1,0.385,0,40
1786,1785044609098,1785044609097,1,0.361,0,40
1787,1785044609098,1785044609098,0,0.401,0,40
1788,1785044609225,1785044609225,0,0.376,0,40
1789,1785044609225,1785044609225,0,0.353,0,40
1790,1785044609225,1785044609225,0,0.331,0,40
1791,1785044609225,1785044609225,0,0.310,0,40
1792,1785044609225,1785044609225,0,0.291,0,40
1793,1785044609225,1785044609225,0,0.272,0,40
1794,1785044609225,1785044609225,0,0.255,0,40
1795,1785044609225,1785044609225,0,0.239,0,40
1796,1785044609226,1785044609225,1,0.287,0,40
1797,1785044609226,1785044609225,1,0.269,0,40
1798,1785044609226,1785044609225,1,0.252,0,40
1799,1785044609226,1785044609226,0,0.299,0,40
1800,1785044609226,1785044609226,0,0.280,0,40
1801,1785044609226,1785044609226,0,0.263,0,40
1802,1785044609226,1785044609226,0,0.246,0,40
