seq,receive_time_ms,send_timestamp_ms,delay_ms,jitter_ms,cumulative_loss,payload_bytes
2891,1785284649144,1785284649143,1,0.222,0,40
2892,1785284649144,1785284649144,0,0.271,0,40
2893,1785284649144,1785284649144,0,0.254,0,40
2894,1785284649144,1785284649144,0,0.238,0,40
2895,1785284649144,1785284649144,0,0.223,0,40
2896,1785284649144,1785284649144,0,0.209,0,40
2897,1785284649145,1785284649144,1,0.259,0,40
2898,1785284649146,1785284649145,1,0.243,0,40
2899,1785284649146,1785284649145,1,0.227,0,40
2900,1785284649270,1785284649270,0,0.276,0,40
2901,1785284649270,1785284649270,0,0.259,0,40
2902,1785284649270,1785284649270,0,0.242,0,40
2903,1785284649270,1785284649270,0,0.227,0,40
2904,1785284649270,1785284649270,0,0.213,0,40
2905,1785284649270,1785284649270,0,0.200,0,40
2906,1785284649270,1785284649270,0,0.187,0,40
2907,1785284649270,1785284649270,0,0.176,0,40
2908,1785284649270,1785284649270,0,0.165,0,40
2909,1785284649270,1785284649270,0,0.154,0,40
2910,1785284649270,1785284649270,0,0.145,0,40
2911,1785284649270,1785284649270,0,0.136,0,40
2912,1785284649397,1785284649397,0,0.127,0,40
2913,1785284649398,1785284649397,1,0.182,0,40
2914,1785284649398,1785284649397,1,0.170,0,40
2915,1785284649398,1785284649398,0,0.222,0,40
2916,1785284649398,1785284649398,0,0.208,0,40
2917,1785284649398,1785284649398,0,0.195,0,40
2918,1785284649398,1785284649398,0,0.183,0,40
2919,1785284649398,1785284649398,0,0.172,0,40
2920,1785284649399,1785284649398,1,0.223,0,40
2921,1785284649399,1785284649399,0,0.272,0,40
2922,1785284649399,1785284649399,0,0.255,0,40
2923,1785284649399,1785284649399,0,0.239,0,40
2924,1785284649399,1785284649399,0,0.224,0,40
2925,1785284649526,1785284649525,1,0.273,0,40
2926,1785284649526,1785284649525,1,0.256,0,40
2927,1785284649526,1785284649526,0,0.302,0,40
2928,1785284649526,1785284649526,0,0.283,0,40
2929,1785284649527,1785284649526,1,0.328,0,40
2930,1785284649528,1785284649527,1,0.307,0,40
2931,1785284649528,1785284649528,0,0.351,0,40
2932,1785284649528,1785284649528,0,0.329,0,40
2933,1785284649528,1785284649528,0,0.308,0,40
2934,1785284649529,1785284649528,1,0.352,0,40
2935,1785284649529,1785284649529,0,0.392,0,40
